"year","annual_mean","n","d_ppm","d_GtC","total_GtC","airborne_fraction"
1980,338.913333333333,12,2.0575,4.37013000000001,5.29357991809091,0.825552852251273
1981,340.109166666667,12,1.19583333333333,2.53994999999998,5.14902453954546,0.493287608263022
1982,340.855833333333,12,0.74666666666667,1.58592000000001,5.108111556,0.310470901548182
1983,342.53,12,1.67416666666662,3.5559299999999,5.15502955718182,0.689798178760372
1984,344.073333333333,12,1.54333333333335,3.27804000000004,5.306522658,0.617737869272665
1985,345.5375,12,1.4641666666667,3.10989000000007,5.49405353918182,0.566046540650057
1986,346.968333333333,12,1.43083333333334,3.03909000000001,5.57401222827273,0.545224853398243
1987,348.679166666667,12,1.71083333333331,3.63380999999996,5.75623370781818,0.631282568507334
1988,351.16,12,2.48083333333335,5.26929000000004,5.97784253945455,0.881470190160084
1989,352.791666666667,12,1.63166666666666,3.46565999999999,6.05460339054545,0.572400828997615
1990,354.06,12,1.26833333333332,2.69393999999996,6.19967554881818,0.434529190888626
1991,355.396666666667,12,1.33666666666664,2.83907999999995,6.32879753318182,0.448597065258398
1992,356.094166666667,12,0.697499999999991,1.48148999999998,6.14193383618182,0.241209045801275
1993,356.828333333333,12,0.734166666666681,1.55937000000003,6.20451056754546,0.251328446139939
1994,358.328333333333,12,1.5,3.186,6.265799547,0.508474613032494
1995,360.176666666667,12,1.84833333333336,3.92586000000005,6.41362851572727,0.612112159345244
1996,361.9325,12,1.75583333333333,3.72938999999999,6.60913001754545,0.564278504144943
1997,363.043333333333,12,1.11083333333335,2.35941000000003,6.649178544,0.354842328926343
1998,365.695833333333,12,2.65249999999997,5.63390999999995,6.62610354518182,0.850259879216143
1999,367.7925,12,2.09666666666669,4.45332000000005,6.77393745518182,0.657419710392133
2000,368.965,12,1.17250000000001,2.49039000000003,6.95767731109091,0.357934104824065
2001,370.5675,12,1.60249999999996,3.40370999999992,7.00718007190909,0.485746044067709
2002,372.583333333333,12,2.01583333333332,4.28162999999997,7.163272239,0.597719848854675
2003,375.140833333333,12,2.5575,5.43213000000001,7.541642859,0.720284704746718
2004,376.946666666667,12,1.80583333333334,3.83559000000001,7.80273381545455,0.491570017729302
2005,378.978333333333,12,2.03166666666669,4.31526000000006,8.07244103127273,0.534566927560411
2006,381.160833333333,12,2.1825,4.63563000000001,8.34385955618182,0.555573828728403
2007,382.898333333333,12,1.73749999999995,3.6904499999999,8.59070605145455,0.429586343415283
2008,385.020833333333,12,2.1225,4.50819000000001,8.74081644190909,0.515763033117232
2009,386.496666666667,12,1.47583333333336,3.13467000000005,8.59445824990909,0.364731540819714
2010,388.755,12,2.25833333333333,4.79669999999998,9.08663819236364,0.527884999760539
2011,390.620833333333,12,1.86583333333334,3.96303000000002,9.40363349645455,0.421436033368825
2012,392.649166666667,12,2.02833333333331,4.30817999999995,9.53310960518182,0.451917598603733
2013,395.395833333333,12,2.74666666666667,5.83392000000001,9.62067809372727,0.606393846999595
2014,397.344166666667,12,1.94833333333332,4.13825999999998,9.67246197354545,0.427839366163266
2015,399.649166666667,12,2.30500000000001,4.89582000000001,9.65550750354545,0.507049473909299
2016,403.066666666667,12,3.41750000000002,7.25877000000004,9.65259009790909,0.752002304704973
2017,405.209166666667,12,2.14249999999998,4.55066999999997,9.81125725009091,0.463821290585139
2018,407.6175,12,2.40833333333336,5.11530000000006,10.018364436,0.510592325990731
2019,410.079166666667,12,2.46166666666664,5.22857999999995,10.1145181873636,0.5169381183705
2020,412.443333333333,12,2.36416666666668,5.02149000000002,9.58860813518182,0.52369331702852
2021,414.7025,12,2.25916666666666,4.79846999999998,10.0545992149091,0.477241299969943
2022,417.0825,12,2.38,5.05511999999999,10.2348468212727,0.493912619140828
2023,419.355,12,2.27250000000004,4.82679000000008,10.3892847736364,0.464593098097421
2024,422.794166666667,12,3.43916666666667,7.30479,10.5268849180909,0.693917531809092
