"year","annual_mean","n_months","annual_rate"
1979,336.855833333333,12,NA
1980,338.914166666667,12,2.05833333333334
1981,340.109166666667,12,1.19499999999999
1982,340.856666666667,12,0.747500000000002
1983,342.53,12,1.67333333333329
1984,344.073333333333,12,1.54333333333335
1985,345.5375,12,1.4641666666667
1986,346.969166666667,12,1.43166666666662
1987,348.6775,12,1.70833333333337
1988,351.158333333333,12,2.48083333333335
1989,352.7875,12,1.62916666666666
1990,354.06,12,1.27249999999998
1991,355.3975,12,1.33749999999998
1992,356.0925,12,0.694999999999993
1993,356.828333333333,12,0.735833333333346
1994,358.329166666667,12,1.50083333333333
1995,360.176666666667,12,1.84750000000003
1996,361.9325,12,1.75583333333333
1997,363.038333333333,12,1.10583333333329
1998,365.695833333333,12,2.65750000000003
1999,367.794166666667,12,2.09833333333336
2000,368.965,12,1.17083333333335
2001,370.5675,12,1.60249999999996
2002,372.583333333333,12,2.01583333333332
2003,375.140833333333,12,2.5575
2004,376.946666666667,12,1.80583333333334
2005,378.9775,12,2.03083333333336
2006,381.15,12,2.17249999999996
2007,382.9,12,1.75
2008,385.020833333333,12,2.12083333333334
2009,386.496666666667,12,1.47583333333336
2010,388.755,12,2.25833333333333
2011,390.620833333333,12,1.86583333333334
2012,392.649166666667,12,2.02833333333331
2013,395.395833333333,12,2.74666666666667
2014,397.344166666667,12,1.94833333333332
2015,399.649166666667,12,2.30500000000001
2016,403.066666666667,12,3.41750000000002
2017,405.216666666667,12,2.15000000000003
2018,407.610833333333,12,2.39416666666665
2019,410.079166666667,12,2.46833333333331
2020,412.443333333333,12,2.36416666666668
2021,414.7025,12,2.25916666666666
2022,417.085833333333,12,2.38333333333333
2023,419.365833333333,12,2.28000000000003
2024,422.798333333333,12,3.4325
2025,425.43,9,2.63166666666666
