"zone","type","var","p_x_to_co2","p_co2_to_x","sens"
"austral","bande","T2m",0.182956111880657,0.0580740833351373,"none"
"austral","bande","T500",0.0898329685584729,0.0293960063370012,"CO2 -> X"
"austral","bande","SPFH2m",0.241272689508984,0.168588489378257,"none"
"austral","bande","PWAT",0.286734128273992,0.0637314540325086,"none"
"austral","bande","APCP",0.152839568686671,0.623765215383689,"none"
"austral","bande","TCDC",0.175099990829791,0.284259397891656,"none"
"austral","bande","DLWRF",0.0706182826598982,0.0455951656012824,"CO2 -> X"
"austral","bande","ULWRF",0.217027301286763,0.0802153603906036,"none"
"austral","bande","DSWRF",0.763598378264869,0.481159057245963,"none"
"austral","bande","USWRF",0.580911699594048,0.679176471156099,"none"
"austral","bande","PRMSL",0.305483476408722,0.845561296288359,"none"
"austral","bande","CSDSF",0.849816665762152,0.53818422695479,"none"
"austral","bande","CSUSF",0.490139740548866,0.68956816715264,"none"
"austral","bande","CSDLF",0.138558095982512,0.133932695701384,"none"
"austral","bande","CSULF",0.217436078222386,0.0826063676879459,"none"
"austral","bande","CDUVB",0.648876331840783,0.737392785228186,"none"
"austral","bande","DUVB",0.61504269419844,0.814382403006127,"none"
"austral","bande","ALBDO",0.438006478922557,0.774947082882006,"none"
"boreal","bande","T2m",0.0126788448832163,0.438697006431631,"X -> CO2"
"boreal","bande","T500",0.044669965521169,0.00260946820869932,"bidirectional"
"boreal","bande","SPFH2m",0.00321370057663395,0.754699119402568,"X -> CO2"
"boreal","bande","PWAT",0.00273700591813757,0.543614278812642,"X -> CO2"
"boreal","bande","APCP",0.361558037406946,0.193511351022106,"none"
"boreal","bande","TCDC",0.357833335362664,0.142719587399137,"none"
"boreal","bande","DLWRF",0.00313128753610889,0.718659555485294,"X -> CO2"
"boreal","bande","ULWRF",0.0106544155171223,0.572287296085494,"X -> CO2"
"boreal","bande","DSWRF",0.243923420509371,0.582428499160531,"none"
"boreal","bande","USWRF",0.000366136359601999,0.332504639811765,"X -> CO2"
"boreal","bande","PRMSL",0.0506617942124186,0.0232924979521839,"CO2 -> X"
"boreal","bande","CSDSF",0.692598432821348,0.876730969339368,"none"
"boreal","bande","CSUSF",0.000669810741387145,0.399192089516832,"X -> CO2"
"boreal","bande","CSDLF",0.00336521380827822,0.422852170824279,"X -> CO2"
"boreal","bande","CSULF",0.010708562064266,0.578039217247389,"X -> CO2"
"boreal","bande","CDUVB",0.308517486687512,0.976043266402075,"none"
"boreal","bande","DUVB",0.136871477407587,0.588060066656864,"none"
"boreal","bande","ALBDO",0.00238081629454529,0.467565819608451,"X -> CO2"
"global","bande","T2m",4.93087738161891e-05,0.0528298664233205,"X -> CO2"
"global","bande","T500",3.93220599838852e-08,0.000340049262532876,"bidirectional"
"global","bande","SPFH2m",2.80192705294244e-08,0.0133565646813208,"bidirectional"
"global","bande","PWAT",9.37787932368662e-08,0.0551601665473885,"X -> CO2"
"global","bande","APCP",0.144659823901308,0.0170677935904592,"CO2 -> X"
"global","bande","TCDC",0.0706743243624609,0.0746532006613754,"none"
"global","bande","DLWRF",6.7631655539771e-07,0.0597899307783059,"X -> CO2"
"global","bande","ULWRF",2.29962963758534e-06,0.0865487416352947,"X -> CO2"
"global","bande","DSWRF",0.183856722689879,0.148819822078869,"none"
"global","bande","USWRF",0.00220312268865697,0.080179736177618,"X -> CO2"
"global","bande","PRMSL",0.000739741683719504,0.528908872044991,"X -> CO2"
"global","bande","CSDSF",0.0275209336369895,0.704555546627205,"X -> CO2"
"global","bande","CSUSF",0.00865291263767174,0.255891701159837,"X -> CO2"
"global","bande","CSDLF",1.27788599312717e-07,0.0638352580143741,"X -> CO2"
"global","bande","CSULF",2.33496351263061e-06,0.0887394147786228,"X -> CO2"
"global","bande","CDUVB",0.154020617170971,0.98987062182745,"none"
"global","bande","DUVB",0.456676770411229,0.324908824778702,"none"
"global","bande","ALBDO",0.340522157011262,0.166517528975217,"none"
"temperate_N","bande","T2m",0.0131867191252418,0.302875034291581,"X -> CO2"
"temperate_N","bande","T500",0.782814764738818,0.0337931284507342,"CO2 -> X"
"temperate_N","bande","SPFH2m",0.0901832413909234,0.0576335177890752,"none"
"temperate_N","bande","PWAT",0.196139504028266,0.0717656565825834,"none"
"temperate_N","bande","APCP",0.000590886934808201,1.78385649062405e-05,"bidirectional"
"temperate_N","bande","TCDC",0.00280167261807625,0.015048159661646,"bidirectional"
"temperate_N","bande","DLWRF",0.0978698366322316,0.0425416137359552,"CO2 -> X"
"temperate_N","bande","ULWRF",0.0231890192283429,0.13744069644723,"X -> CO2"
"temperate_N","bande","DSWRF",0.326058701775806,0.217278718882917,"none"
"temperate_N","bande","USWRF",8.24320035515758e-05,0.0544136606536256,"X -> CO2"
"temperate_N","bande","PRMSL",0.00141892273446198,0.0487593613804786,"bidirectional"
"temperate_N","bande","CSDSF",0.890968154438447,0.231846931306012,"none"
"temperate_N","bande","CSUSF",0.000451195410142202,0.0930395284164824,"X -> CO2"
"temperate_N","bande","CSDLF",0.0395042724713299,0.159972729152318,"X -> CO2"
"temperate_N","bande","CSULF",0.0227875726964568,0.138455253793593,"X -> CO2"
"temperate_N","bande","CDUVB",0.918344424369369,0.95017634477472,"none"
"temperate_N","bande","DUVB",0.318581609136211,0.305517870820996,"none"
"temperate_N","bande","ALBDO",0.00215014148753626,0.00830999437967676,"bidirectional"
"temperate_S","bande","T2m",0.295831665479713,0.0272532331531924,"CO2 -> X"
"temperate_S","bande","T500",0.507461385657482,0.480673964232811,"none"
"temperate_S","bande","SPFH2m",0.459655939145007,0.230321445148448,"none"
"temperate_S","bande","PWAT",0.36798047442826,0.919024793686507,"none"
