"band","var","amplitude"
"Australe (90-60°S)","DSWRF",335.268351274878
"Australe (90-60°S)","PWAT",3.0269025927779
"Australe (90-60°S)","T2m",13.9785477013718
"Australe (90-60°S)","TCDC",10.1293130346964
"Tempérée S (60-30°S)","DSWRF",207.643214328922
"Tempérée S (60-30°S)","PWAT",7.4431662406075
"Tempérée S (60-30°S)","T2m",5.13276782849096
"Tempérée S (60-30°S)","TCDC",6.95113807740398
"Tropicale (30°S-30°N)","DSWRF",34.4327022556398
"Tropicale (30°S-30°N)","PWAT",1.82135179774023
"Tropicale (30°S-30°N)","T2m",1.16891172722501
"Tropicale (30°S-30°N)","TCDC",3.13373256769138
"Tempérée N (30-60°N)","DSWRF",200.452940551554
"Tempérée N (30-60°N)","PWAT",16.8268223256116
"Tempérée N (30-60°N)","T2m",18.9067766742799
"Tempérée N (30-60°N)","TCDC",17.8610534041521
"Boréale (60-90°N)","DSWRF",247.700420920994
"Boréale (60-90°N)","PWAT",12.9239726661426
"Boréale (60-90°N)","T2m",27.6794820848905
"Boréale (60-90°N)","TCDC",9.35258267213871
