"region","var","sen_per_year","mk_pvalue","r_with_co2_resid"
"Amazonie","T2m",0.00712930821729051,0.0259939432144165,0.0319137700445331
"Amazonie","PWAT",0.135949912010668,0,0.0276617063749063
"Amazonie","APCP",0.0113619168192589,0,-0.0310319482737829
"Amazonie","TCDC",0.339038334612232,0,0.106581987297676
"Indonesie","T2m",0.0193000127922102,0,0.147617573288074
"Indonesie","PWAT",0.129032550600832,0,0.0975783668897193
"Indonesie","APCP",0.00358121360089129,0.00183415412902832,0.0142405879230213
"Indonesie","TCDC",0.453749246834186,0,0.166971269691242
"Siberie","T2m",0.0370516398490971,0.281532049179077,0.125520905262878
"Siberie","PWAT",0.00476480481157524,0.668590188026428,0.145698247038791
"Siberie","APCP",-0.000504282070280181,0.22476989030838,0.0898548875172525
"Siberie","TCDC",-0.0162077527433616,0.429867565631866,-0.0576190300087321
"Sahel","T2m",0.0146464270650313,0.0879886150360107,-0.119905282836277
"Sahel","PWAT",0.0205611730676279,0.426754236221313,0.193196350698571
"Sahel","APCP",-1.94599902155541e-05,0.728854417800903,0.200705691584087
"Sahel","TCDC",0.379393507114404,0,0.202752629685997
