"zone","type","R2","R2_adj","n_obs","top1","top2","top3"
"austral","bande",0.488,0.471,563,"PWAT","CSDLF","SPFH2m"
"boreal","bande",0.278,0.254,563,"TCDC","DLWRF","T2m"
"global","bande",0.746,0.737,563,"APCP","PRMSL","ALBDO"
"temperate_N","bande",0.576,0.562,563,"DLWRF","CSDLF","TCDC"
"temperate_S","bande",0.63,0.618,563,"ULWRF","CSULF","DUVB"
"tropical","bande",0.691,0.681,563,"APCP","T500","ALBDO"
"Amazonie","hotspot",0.038,0.031,563,"TCDC","APCP","PWAT"
"Indonesie","hotspot",0.097,0.09,563,"TCDC","T2m","APCP"
"Siberie","hotspot",0.046,0.039,563,"TCDC","APCP","T2m"
"Sahel","hotspot",0.064,0.057,563,"T2m","PWAT","TCDC"
