"var","r_pearson"
"TCDC",0.764600387220068
"CRE_LW",-0.681702601919214
"PWAT",0.528906371191289
"APCP",0.511652794572975
"SPFH2m",0.419199378899359
"T500",0.418361207197416
"CRE_SW",0.339111040801271
"CSDLF",0.314458940584987
"DUVB",0.247667903939412
"DLWRF",0.220879627297468
"DSWRF",0.211171505592191
"ULWRF",0.173496207800402
"CSULF",0.173053210437143
"T2m",0.165222156805985
"CRE_net",0.142370379459248
"CDUVB",0.103243253498756
"USWRF",0.0480419449296901
"PRMSL",-0.0241319005030075
"ALBDO",-0.0112515084793931
"CSDSF",-0.00289188857905231
"CSUSF",0.000752099763172739
