"date","year","month","CRE_SW","CRE_LW","CRE_net"
1979-01-01,1979,1,-47.812233131131,25.018751051293,-22.793482079838
1979-02-01,1979,2,-47.1885961479754,25.473964508522,-21.7146316394534
1979-03-01,1979,3,-44.9392086776681,26.011831794927,-18.927376882741
1979-04-01,1979,4,-41.87061027385,25.795461516785,-16.075148757065
1979-05-01,1979,5,-42.2000728714559,26.116050015495,-16.0840228559609
1979-06-01,1979,6,-43.6747807619845,25.9076889143329,-17.7670918476516
1979-07-01,1979,7,-44.9263263532301,25.811836900719,-19.1144894525112
1979-08-01,1979,8,-46.194410529046,26.357937275163,-19.836473253883
1979-09-01,1979,9,-46.6799748763063,26.19952215824,-20.4804527180663
1979-10-01,1979,10,-47.5012154380854,26.574715543154,-20.9264998949314
1979-11-01,1979,11,-47.5254696721188,26.235011042007,-21.2904586301118
1979-12-01,1979,12,-47.8885111846429,25.763798925136,-22.1247122595069
1980-01-01,1980,1,-48.3371874791489,25.1593867322391,-23.1778007469099
1980-02-01,1980,2,-47.9875976482873,25.35356869249,-22.6340289557973
1980-03-01,1980,3,-44.7910486939402,25.708682298874,-19.0823663950662
1980-04-01,1980,4,-42.5788515998545,25.736229006749,-16.8426225931055
1980-05-01,1980,5,-42.085240867703,26.150285698114,-15.934955169589
1980-06-01,1980,6,-43.6687129268046,26.288778432177,-17.3799344946276
1980-07-01,1980,7,-46.0453472981658,26.541671518624,-19.5036757795418
1980-08-01,1980,8,-47.4674175729015,26.562697557568,-20.9047200153335
1980-09-01,1980,9,-46.1354170057074,26.108614097348,-20.0268029083593
1980-10-01,1980,10,-47.7709081857613,26.853247050672,-20.9176611350893
1980-11-01,1980,11,-47.0063504197549,25.869042306771,-21.1373081129839
1980-12-01,1980,12,-47.4350205802789,25.3870259869631,-22.0479945933158
1981-01-01,1981,1,-48.4475150695658,25.272601288246,-23.1749137813198
1981-02-01,1981,2,-49.0070083693036,25.902080848012,-23.1049275212916
1981-03-01,1981,3,-45.0025717791584,25.420629125338,-19.5819426538204
1981-04-01,1981,4,-42.2985738495457,25.572425433335,-16.7261484162107
1981-05-01,1981,5,-41.5823479287609,25.882403731572,-15.6999441971889
1981-06-01,1981,6,-42.6579337821779,25.966578859625,-16.6913549225529
1981-07-01,1981,7,-45.5340227739666,26.07065712988,-19.4633656440866
1981-08-01,1981,8,-45.1033425279166,25.451757017724,-19.6515855101926
1981-09-01,1981,9,-44.2885901951929,25.096105118871,-19.1924850763219
1981-10-01,1981,10,-45.9809966748563,25.776220026762,-20.2047766480944
1981-11-01,1981,11,-49.3777489507472,26.418228585055,-22.9595203656922
1981-12-01,1981,12,-50.0612511711049,25.679661840465,-24.3815893306399
1982-01-01,1982,1,-49.1691151199331,25.269135760872,-23.8999793590611
1982-02-01,1982,2,-48.609707512701,25.8464373840711,-22.7632701286299
1982-03-01,1982,3,-47.1558194013056,26.393867977233,-20.7619514240725
1982-04-01,1982,4,-43.535022452288,26.4163934237239,-17.118629028564
1982-05-01,1982,5,-41.714400794143,25.803740062866,-15.910660731277
1982-06-01,1982,6,-42.9120959899566,26.420018171237,-16.4920778187196
1982-07-01,1982,7,-43.1844376208363,25.485030553303,-17.6994070675333
1982-08-01,1982,8,-45.8045441538244,26.344405294782,-19.4601388590425
1982-09-01,1982,9,-45.5777504589869,26.515659682636,-19.0620907763509
1982-10-01,1982,10,-44.6862800874343,26.18719234974,-18.4990877376943
1982-11-01,1982,11,-46.6934997339513,26.043337097609,-20.6501626363423
1982-12-01,1982,12,-46.7371903795467,25.720875219792,-21.0163151597546
1983-01-01,1983,1,-48.10406177292,25.506470830163,-22.597590942757
1983-02-01,1983,2,-45.8293284278966,24.599063381262,-21.2302650466346
1983-03-01,1983,3,-44.4704240063,25.6724532006079,-18.797970805692
1983-04-01,1983,4,-42.3691074438396,25.95941565676,-16.4096917870796
1983-05-01,1983,5,-42.1251834312699,26.305962405891,-15.8192210253789
1983-06-01,1983,6,-42.8041648243041,26.0536993991699,-16.7504654251341
1983-07-01,1983,7,-45.4454062328036,26.409076012634,-19.0363302201696
1983-08-01,1983,8,-45.8490291389862,26.4173297976189,-19.4316993413672
1983-09-01,1983,9,-45.5577830143253,26.0483896208079,-19.5093933935173
1983-10-01,1983,10,-46.5846177286634,26.333476686586,-20.2511410420774
1983-11-01,1983,11,-47.6583953099616,26.17780101317,-21.4805942967916
1983-12-01,1983,12,-47.2358995020495,25.227098271457,-22.0088012305925
1984-01-01,1984,1,-47.2937939508981,25.268467393576,-22.0253265573221
1984-02-01,1984,2,-47.1065536498932,25.416252156153,-21.6903014937403
1984-03-01,1984,3,-45.0125927121845,26.136013853393,-18.8765788587915
1984-04-01,1984,4,-42.6758878714896,26.091958132765,-16.5839297387246
1984-05-01,1984,5,-41.9219097118794,25.8998311383,-16.0220785735794
1984-06-01,1984,6,-43.5231053468934,25.753743995933,-17.7693613509605
1984-07-01,1984,7,-44.7012477578436,26.402532582924,-18.2987151749196
1984-08-01,1984,8,-44.3834100814876,25.7600348261241,-18.6233752553635
1984-09-01,1984,9,-43.8832642334577,25.719895237436,-18.1633689960217
1984-10-01,1984,10,-46.9562209166297,26.537112077956,-20.4191088386738
1984-11-01,1984,11,-46.1738491616046,25.526488132512,-20.6473610290926
1984-12-01,1984,12,-49.2983936111035,26.4550694490629,-22.8433241620405
1985-01-01,1985,1,-47.5260265773203,25.065592141957,-22.4604344353633
1985-02-01,1985,2,-47.0034742391635,25.4546115919329,-21.5488626472306
1985-03-01,1985,3,-45.5899526005938,26.303139422639,-19.2868131779548
1985-04-01,1985,4,-43.5233802860478,26.365991350378,-17.1573889356698
1985-05-01,1985,5,-41.517542356769,26.255125703356,-15.262416653413
1985-06-01,1985,6,-42.82174123668,25.97446840308,-16.8472728335999
1985-07-01,1985,7,-44.4657384061605,26.802594559321,-17.6631438468395
1985-08-01,1985,8,-46.8547472469849,26.569922856188,-20.2848243907969
1985-09-01,1985,9,-47.2994141876342,26.951354007548,-20.3480601800862
1985-10-01,1985,10,-47.6113678294362,26.847678200168,-20.7636896292682
1985-11-01,1985,11,-47.2841216499498,26.459640835013,-20.8244808149368
1985-12-01,1985,12,-48.1148110309964,25.246166200842,-22.8686448301544
1986-01-01,1986,1,-48.1801169318729,24.8598968903551,-23.3202200415178
1986-02-01,1986,2,-45.8691368892189,24.665835700563,-21.203301188656
1986-03-01,1986,3,-44.0963954989763,25.8570293364731,-18.2393661625032
1986-04-01,1986,4,-42.4459980597781,25.851092690827,-16.5949053689511
1986-05-01,1986,5,-40.8926624436011,25.691522102919,-15.2011403406822
1986-06-01,1986,6,-43.5548023371384,26.289436892141,-17.2653654449974
1986-07-01,1986,7,-45.0913669218561,26.163016000468,-18.9283509213881
1986-08-01,1986,8,-45.6144442658851,26.037027200119,-19.5774170657662
1986-09-01,1986,9,-45.579250000874,25.891748534767,-19.687501466107
1986-10-01,1986,10,-46.1657055292548,26.175893093671,-19.9898124355838
1986-11-01,1986,11,-48.7435795773231,26.7750216271399,-21.9685579501831
1986-12-01,1986,12,-49.2099661628989,25.715884672445,-23.4940814904539
1987-01-01,1987,1,-48.5755828813769,25.200497326889,-23.3750855544879
1987-02-01,1987,2,-47.0587653796992,24.864620384023,-22.1941449956762
1987-03-01,1987,3,-43.6136533153242,25.328182506158,-18.2854708091662
1987-04-01,1987,4,-42.480062964157,25.5689872117711,-16.911075752386
1987-05-01,1987,5,-41.251260394555,25.6499539079539,-15.6013064866011
1987-06-01,1987,6,-42.9537256390987,25.675335191475,-17.2783904476237
1987-07-01,1987,7,-44.8943856655527,26.085914804103,-18.8084708614497
1987-08-01,1987,8,-46.1678026850139,26.684630641709,-19.483172043305
1987-09-01,1987,9,-45.7635548349784,25.91307055746,-19.8504842775184
1987-10-01,1987,10,-47.2812043307196,26.5616414809701,-20.7195628497495
1987-11-01,1987,11,-48.9134031374536,26.203770967412,-22.7096321700417
1987-12-01,1987,12,-50.0211525915075,26.009994371113,-24.0111582203945
1988-01-01,1988,1,-49.7865191873303,25.74595488759,-24.0405642997403
1988-02-01,1988,2,-47.8223378942157,25.356596498311,-22.4657413959047
1988-03-01,1988,3,-44.7051095691384,25.686300343037,-19.0188092261014
1988-04-01,1988,4,-42.3862911397031,25.786597418518,-16.5996937211851
1988-05-01,1988,5,-42.1565920642156,26.100041621313,-16.0565504429026
1988-06-01,1988,6,-43.7864815855234,25.919221235869,-17.8672603496544
1988-07-01,1988,7,-45.5604947178499,26.175556732871,-19.3849379849789
1988-08-01,1988,8,-47.5484640914808,26.6153876000699,-20.9330764914108
1988-09-01,1988,9,-47.3533494602487,26.606094027307,-20.7472554329417
1988-10-01,1988,10,-46.5709077824749,26.017884377836,-20.5530234046389
1988-11-01,1988,11,-49.0851317568236,26.377473160121,-22.7076585967026
1988-12-01,1988,12,-50.7345520505659,26.317069870346,-24.41748218022
1989-01-01,1989,1,-48.7619251607533,25.369989483583,-23.3919356771703
1989-02-01,1989,2,-48.2664253207683,25.804358387835,-22.4620669329333
1989-03-01,1989,3,-44.4388345720738,25.443954231761,-18.9948803403128
1989-04-01,1989,4,-42.4449121772842,25.794222777263,-16.6506894000213
1989-05-01,1989,5,-42.1301547497805,26.165816303399,-15.9643384463815
1989-06-01,1989,6,-43.2255991897766,26.384207920978,-16.8413912687986
1989-07-01,1989,7,-43.9396310703191,25.633195087358,-18.3064359829611
1989-08-01,1989,8,-46.0619288890225,25.852396830116,-20.2095320589065
1989-09-01,1989,9,-45.7722987637088,25.9057794254661,-19.8665193382427
1989-10-01,1989,10,-47.1417017124801,26.404894464449,-20.7368072480311
1989-11-01,1989,11,-48.2757225848849,26.161974699657,-22.1137478852279
1989-12-01,1989,12,-50.1290210666312,25.920610767746,-24.2084102988852
1990-01-01,1990,1,-50.7185209259155,25.920743045665,-24.7977778802505
1990-02-01,1990,2,-47.9419233590567,25.600842048626,-22.3410813104307
1990-03-01,1990,3,-45.649386147812,26.067350145516,-19.582036002296
1990-04-01,1990,4,-43.0942850174458,25.967558509938,-17.1267265075078
1990-05-01,1990,5,-41.9827288145655,25.8756007205409,-16.1071280940246
1990-06-01,1990,6,-44.1069816652652,25.963384579596,-18.1435970856692
1990-07-01,1990,7,-44.4827420393079,25.51222046852,-18.9705215707879
1990-08-01,1990,8,-45.3588600863275,26.1598435505019,-19.1990165358256
