"lag","r","var"
-12,-0.511849889941456,"CRE_LW"
-11,-0.511301709094576,"CRE_LW"
-10,-0.511977241873441,"CRE_LW"
-9,-0.512268205290008,"CRE_LW"
-8,-0.511899965349722,"CRE_LW"
-7,-0.511517131158103,"CRE_LW"
-6,-0.512305561353778,"CRE_LW"
-5,-0.513196182563335,"CRE_LW"
-4,-0.513261251722716,"CRE_LW"
-3,-0.514131339098115,"CRE_LW"
-2,-0.516474599251871,"CRE_LW"
-1,-0.519597182348146,"CRE_LW"
0,-0.523313192954182,"CRE_LW"
1,-0.527194225046126,"CRE_LW"
2,-0.528582849857283,"CRE_LW"
3,-0.53134531223737,"CRE_LW"
4,-0.53004219933685,"CRE_LW"
5,-0.52741159988785,"CRE_LW"
6,-0.525424235547692,"CRE_LW"
7,-0.526660826920528,"CRE_LW"
8,-0.532300119922214,"CRE_LW"
9,-0.538448899359706,"CRE_LW"
10,-0.540140408822135,"CRE_LW"
11,-0.543879934864479,"CRE_LW"
12,-0.545505821077248,"CRE_LW"
-12,0.499822262990242,"CRE_SW"
-11,0.500599391568801,"CRE_SW"
-10,0.500517134919716,"CRE_SW"
-9,0.498471497819917,"CRE_SW"
-8,0.495934110514168,"CRE_SW"
-7,0.494245660942224,"CRE_SW"
-6,0.493127714529953,"CRE_SW"
-5,0.491435387814108,"CRE_SW"
-4,0.488498701860621,"CRE_SW"
-3,0.486738221327859,"CRE_SW"
-2,0.486668801516909,"CRE_SW"
-1,0.48759903794749,"CRE_SW"
0,0.488957101634974,"CRE_SW"
1,0.484851992175733,"CRE_SW"
2,0.481375367250242,"CRE_SW"
3,0.477825445497664,"CRE_SW"
4,0.474135473400883,"CRE_SW"
5,0.469350559243203,"CRE_SW"
6,0.46624554006539,"CRE_SW"
7,0.467508210389512,"CRE_SW"
8,0.473035201118871,"CRE_SW"
9,0.478142403755698,"CRE_SW"
10,0.47967582759281,"CRE_SW"
11,0.482246690051002,"CRE_SW"
12,0.482912536931836,"CRE_SW"
-12,0.40939042840634,"DSWRF"
-11,0.413628412755889,"DSWRF"
-10,0.416978396989487,"DSWRF"
-9,0.418379534948334,"DSWRF"
-8,0.419196551713323,"DSWRF"
-7,0.421073345853859,"DSWRF"
-6,0.423598921819426,"DSWRF"
-5,0.425435162133367,"DSWRF"
-4,0.425870809231309,"DSWRF"
-3,0.427266510562963,"DSWRF"
-2,0.430237126175283,"DSWRF"
-1,0.433522245369728,"DSWRF"
0,0.436582618162865,"DSWRF"
1,0.433170793285366,"DSWRF"
2,0.429652553354927,"DSWRF"
3,0.426006716684163,"DSWRF"
4,0.422175625652072,"DSWRF"
5,0.416942179878899,"DSWRF"
6,0.413955048040491,"DSWRF"
7,0.416241367823358,"DSWRF"
8,0.423988450087503,"DSWRF"
9,0.431052511955299,"DSWRF"
10,0.434441793887619,"DSWRF"
11,0.438885981654087,"DSWRF"
12,0.441446070065587,"DSWRF"
-12,0.455212714424094,"CRE_net"
-11,0.456887216973225,"CRE_net"
-10,0.456374303277057,"CRE_net"
-9,0.452951982538468,"CRE_net"
-8,0.449128981243861,"CRE_net"
-7,0.446790198805359,"CRE_net"
-6,0.444574969325895,"CRE_net"
-5,0.441388555720228,"CRE_net"
-4,0.436861589541066,"CRE_net"
-3,0.433711677913921,"CRE_net"
-2,0.432222847266485,"CRE_net"
-1,0.43180868517355,"CRE_net"
0,0.431673834895254,"CRE_net"
1,0.423665834375976,"CRE_net"
2,0.417547337281963,"CRE_net"
3,0.410709681771146,"CRE_net"
4,0.405682392867099,"CRE_net"
5,0.399787272962512,"CRE_net"
6,0.396115194910633,"CRE_net"
7,0.397274100428239,"CRE_net"
8,0.40232375553005,"CRE_net"
9,0.406418683204874,"CRE_net"
10,0.407778449176323,"CRE_net"
11,0.409450071570853,"CRE_net"
12,0.4094598676775,"CRE_net"
-12,-0.428725280023919,"PRMSL"
-11,-0.429514422530902,"PRMSL"
-10,-0.42667498283831,"PRMSL"
-9,-0.422912630812408,"PRMSL"
-8,-0.41786606763214,"PRMSL"
-7,-0.414453721569947,"PRMSL"
-6,-0.41242623454902,"PRMSL"
-5,-0.408680557869674,"PRMSL"
-4,-0.405851225202606,"PRMSL"
-3,-0.403745099427389,"PRMSL"
-2,-0.40102160688837,"PRMSL"
-1,-0.397140776983556,"PRMSL"
0,-0.39352226257204,"PRMSL"
1,-0.393310730669935,"PRMSL"
2,-0.391767706368054,"PRMSL"
3,-0.390966364473949,"PRMSL"
4,-0.391639637666057,"PRMSL"
5,-0.391850571241027,"PRMSL"
6,-0.392570396761176,"PRMSL"
7,-0.390953271321442,"PRMSL"
8,-0.392156207391041,"PRMSL"
9,-0.391621377693081,"PRMSL"
10,-0.392443475686541,"PRMSL"
11,-0.39382638671261,"PRMSL"
12,-0.394536081780433,"PRMSL"
-12,-0.380558066505822,"CDUVB"
-11,-0.379304399967549,"CDUVB"
-10,-0.377021592428495,"CDUVB"
-9,-0.373482556641658,"CDUVB"
-8,-0.368287495711695,"CDUVB"
-7,-0.361357337193607,"CDUVB"
-6,-0.353671823841719,"CDUVB"
-5,-0.345919566688773,"CDUVB"
-4,-0.338594244559516,"CDUVB"
-3,-0.330905616574794,"CDUVB"
-2,-0.322995571726025,"CDUVB"
-1,-0.315529555947161,"CDUVB"
0,-0.309006772487861,"CDUVB"
1,-0.300147633088865,"CDUVB"
2,-0.291991940095699,"CDUVB"
3,-0.286712597680431,"CDUVB"
4,-0.284651328108975,"CDUVB"
5,-0.281303807324197,"CDUVB"
6,-0.276319925276119,"CDUVB"
7,-0.268812315139057,"CDUVB"
8,-0.262088512498603,"CDUVB"
9,-0.254561269135759,"CDUVB"
10,-0.246286396190265,"CDUVB"
11,-0.23601653419735,"CDUVB"
12,-0.226205427625323,"CDUVB"
