"var","step_col","coef","step_idx","lambda","log_lambda"
"T2m","s0",0,1,1.45630895831622,0.375905123909727
"T2m","s1",0,2,1.32693448421509,0.282871382778654
"T2m","s2",0,3,1.2090532818221,0.189837641647582
"T2m","s3",0,4,1.1016443205555,0.0968039005165092
"T2m","s4",0,5,1.00377727537633,0.00377015938543671
"T2m","s5",0,6,0.914604468757992,-0.0892635817456359
"T2m","s6",0,7,0.833353528509075,-0.182297322876708
"T2m","s7",0,8,0.759320697854897,-0.275331064007781
"T2m","s8",0.0398315560594428,9,0.691864739833004,-0.368364805138854
"T2m","s9",0.00438841190506582,10,0.630401383205366,-0.461398546269926
"T2m","s10",0,11,0.574398261780418,-0.554432287400999
"T2m","s11",0,12,0.523370303311792,-0.647466028532071
"T2m","s12",0,13,0.476875528034572,-0.740499769663144
"T2m","s13",0,14,0.43451122044801,-0.833533510794216
"T2m","s14",0,15,0.395910441186514,-0.926567251925289
"T2m","s15",0,16,0.360738848766403,-1.01960099305636
"T2m","s16",0,17,0.328691803679924,-1.11263473418743
"T2m","s17",0,18,0.299491729753571,-1.20566847531851
"T2m","s18",0,19,0.272885709916059,-1.29870221644958
"T2m","s19",0,20,0.248643295551648,-1.39173595758065
"T2m","s20",0,21,0.226554510464478,-1.48476969871172
"T2m","s21",0,22,0.206428032165209,-1.5778034398428
"T2m","s22",0,23,0.188089534727149,-1.67083718097387
"T2m","s23",0,24,0.171380178858469,-1.76387092210494
"T2m","s24",0,25,0.156155236112248,-1.85690466323601
"T2m","s25",0,26,0.142282835317901,-1.94993840436709
"T2m","s26",0,27,0.129642820376185,-2.04297214549816
"T2m","s27",0,28,0.11812570952455,-2.13600588662923
"T2m","s28",0,29,0.107631747058487,-2.2290396277603
"T2m","s29",0,30,0.098070039295336,-2.32207336889138
"T2m","s30",0,31,0.0893577672966927,-2.41510711002245
"T2m","s31",0,32,0.081419469530381,-2.50814085115352
"T2m","s32",0,33,0.0741863882587631,-2.60117459228459
"T2m","s33",0,34,0.0675958739921083,-2.69420833341567
"T2m","s34",0,35,0.0615908428486847,-2.78724207454674
"T2m","s35",0,36,0.0561192821214836,-2.88027581567781
"T2m","s36",0,37,0.0511337997690337,-2.97330955680888
"T2m","s37",0,38,0.0465912139282103,-3.06634329793996
"T2m","s38",0,39,0.0424521788935944,-3.15937703907103
"T2m","s39",0,40,0.0386808443237953,-3.2524107802021
"T2m","s40",0,41,0.0352445447229435,-3.34544452133317
"T2m","s41",0,42,0.0321135165077928,-3.43847826246425
"T2m","s42",0,43,0.0292606402098008,-3.53151200359532
"T2m","s43",0,44,0.0266612055792658,-3.62454574472639
"T2m","s44",0,45,0.0242926975569655,-3.71757948585747
"T2m","s45",0,46,0.0221346012594847,-3.81061322698854
"T2m","s46",0.028609684273092,47,0.0201682242891094,-3.90364696811961
"T2m","s47",0.0765470132434506,48,0.0183765348292203,-3.99668070925068
"T2m","s48",0.124082791337882,49,0.0167440141228447,-4.08971445038176
"T2m","s49",0.167967225399938,50,0.0152565220566078,-4.18274819151283
"T2m","s50",0.208096397534304,51,0.0139011746858355,-4.2757819326439
"T2m","s51",0.244695835376931,52,0.0126662326399888,-4.36881567377497
"T2m","s52",0.276986500279801,53,0.0115409994418521,-4.46184941490605
"T2m","s53",0.307060701988707,54,0.0105157288597653,-4.55488315603712
"T2m","s54",0.334616666108851,55,0.00958154049042696,-4.64791689716819
"T2m","s55",0.363630025493532,56,0.00873034284108958,-4.74095063829926
"T2m","s56",0.375205461486691,57,0.00795476324492032,-4.83398437943034
"T2m","s57",0.378028318902004,58,0.00724808400248779,-4.92701812056141
"T2m","s58",0.38303676746363,59,0.00660418419626336,-5.02005186169248
"T2m","s59",0.38536020038506,60,0.00601748667416168,-5.11308560282355
"T2m","s60",0.386275295901586,61,0.00548290974291738,-5.20611934395463
"T2m","s61",0.386242868625877,62,0.00499582315288907,-5.2991530850857
"T2m","s62",0.386106558592313,63,0.00455200799305198,-5.39218682621677
"T2m","s63",0.375414752177821,64,0.00414762014880898,-5.48522056734784
"T2m","s64",0.368547728034965,65,0.00377915700610892,-5.57825430847892
"T2m","s65",0.362490860685445,66,0.00344342711347937,-5.67128804960999
"T2m","s66",0.357385162147557,67,0.00313752253920067,-5.76432179074106
"T2m","s67",0.352457505377595,68,0.00285879368419255,-5.85735553187213
"T2m","s68",0.348024747332701,69,0.00260482633245443,-5.95038927300321
"T2m","s69",0.342619889708423,70,0.00237342074028138,-6.04342301413428
"T2m","s70",0.337452519050839,71,0.00216257258313645,-6.13645675526535
"T2m","s71",0.332499598485451,72,0.0019704555951504,-6.22949049639642
"T2m","s72",0.327776435905407,73,0.00179540575088043,-6.3225242375275
"T2m","s73",0.322224340791095,74,0.00163590685231781,-6.41555797865857
"T2m","s74",0.304271236139844,75,0.00149057739630611,-6.50859171978964
"T2m","s75",0.292291312828402,76,0.00135815860862172,-6.60162546092071
"T2m","s76",0.287992565723193,77,0.00123750354107375,-6.69465920205179
"T2m","s77",0.282557355206872,78,0.00112756713718743,-6.78769294318286
"T2m","s78",0.278007384295208,79,0.00102739718042495,-6.88072668431393
"T2m","s79",0.273625170739454,80,0.000936126046541284,-6.973760425445
"T2m","s80",0.269715255085638,81,0.000852963188638053,-7.06679416657608
"T2m","s81",0.266066370601046,82,0.000777188289824504,-7.15982790770715
"T2m","s82",0.262928794041558,83,0.000708145024177179,-7.25286164883822
"T2m","s83",0.258599428365642,84,0.000645235371958748,-7.34589538996929
"T2m","s84",0.255577647920753,85,0.000587914439857136,-7.43892913110037
"T2m","s85",0.251659902378307,86,0.000535685741380322,-7.53196287223144
"T2m","s86",0.249692453389999,87,0.000488096896527863,-7.62499661336251
"T2m","s87",0.24621482816794,88,0.000444735713491745,-7.71803035449358
"T2m","s88",0.244382419580283,89,0.000405226618448127,-7.81106409562466
"T2m","s89",0.242159133191269,90,0.000369227402516555,-7.90409783675573
